Adj.Mortality,Brit.Smoke,SO2,Temp,Relative Humidity
-26.2,297,220,6.4,80
-32.6,263,172,5,81
-23,291,227,5,82
40.6,466,329,10,83
12.2,730,478,6.2,89
9.8,633,526,6.8,82
65.4,1509,1068,7.2,77
3,831,515,6.3,91
56.6,1038,736,6.5,87
-6.9,403,337,8.4,91
24.8,553,538,6.6,95
29.4,996,686,9.1,92
-13,400,429,7.7,85
-26.4,267,263,7.1,88
-5.8,329,255,6.6,86
10.8,466,283,7.3,91
-18.6,570,489,3.8,89
8,668,574,6.2,89
-17.4,446,303,7.8,97
-18.8,362,238,8.3,96
-34.2,387,248,7.1,93
-18.6,246,215,5.4,83
8,361,349,4.4,91
-17.4,467,449,3,94
18.2,940,867,2.9,98
24.8,1041,932,3.3,98
0.4,871,921,5.6,88
-16,473,346,2.9,81
-1.4,732,608,3.6,87
19.2,717,500,7.6,77
15.8,294,335,5.5,75
-2.6,396,320,3.8,88
-7,443,324,4.4,86
14.6,429,336,6.2,82
-3.8,336,224,4.6,93
-7.2,544,300,2.3,89
36.4,760,436,5.4,91
44,672,383,7.8,90
18.6,555,406,7.8,85
5.2,556,346,9,89
-19.2,298,164,12.1,83
-7.6,150,121,11,80
-50,192,153,9.1,89
-10.4,428,240,8.7,88
2.2,517,366,5,93
-14.2,425,302,5.8,90
15.4,1000,827,4.6,92
9,1135,618,8.2,89
-4.4,322,154,11.3,95
-14.8,228,128,11,89
-16.2,220,192,7.9,82
-21.6,360,281,7.7,87
-36,310,240,11.2,91
-21.4,294,260,6.9,78
-27.8,138,186,5.7,83
-14.2,425,324,3.2,83
-42.6,322,259,1,90
16,512,394,2.7,87
-11.4,453,283,3,95
-9.8,352,251,2.2,91
-28.2,317,260,1.5,75
-28.6,430,240,1.8,77
-6,389,296,-0.4,79
-30.4,357,283,-0.6,78
6.2,314,229,1.8,70
4.8,544,420,1.6,85
48.4,1353,824,1,93
29,720,538,9.8,87
26.6,574,423,-1.1,80
29.2,796,480,3,85
27.8,246,130,7.2,96
32.4,260,137,9,70
-2,184,156,0.2,89
-38.4,172,185,8.8,65
-13.8,133,202,11.6,74
-61.2,261,200,4.4,69
-25.6,406,237,2.3,85
-26,770,351,0.5,90
3.6,1310,539,1.8,96
-31.8,742,383,3.7,71
10.8,976,360,4.6,82
42.4,1701,572,1.9,99
7,1965,1289,1.7,86
3.6,646,295,4.2,91
-10.8,301,197,2.6,87
19.8,295,200,1.9,84
-19.6,263,196,1.7,87
-10,261,200,2.7,89
46.6,450,317,2.8,88
56.2,657,602,2.8,86
37.8,486,398,2.7,91
-20.2,333,265,0.9,95
12.2,419,255,2.9,88
47.7,600,703,3.6,94
-39.9,415,268,2.7,94
20.5,380,335,3.6,85
-15,374,375,2.9,94
-4.6,370,273,2,94
-27.2,344,231,5,91
-2.8,418,331,5.3,88
20.7,617,720,3.4,96
-20.9,749,1178,4.7,90
