date,Y
2000-01-01,26.2
2000-01-07,26.07
2000-01-14,26.34
2000-01-22,24.95
2000-01-29,26.27
2000-02-04,29.37
2000-02-11,28.34
2000-02-19,28.08
2000-02-26,28.83
2000-03-03,29.87
2000-03-10,30.1
2000-03-18,31.07
2000-03-25,32.14
2000-04-01,31.29
2000-04-07,27.99
2000-04-14,26.92
2000-04-22,25.6
2000-04-29,24.87
2000-05-05,26.66
2000-05-12,25.95
2000-05-20,26.75
2000-05-27,28.7
2000-06-02,29.88
2000-06-09,29.46
2000-06-17,29.98
2000-06-24,29.79
2000-07-01,32.45
2000-07-07,33.55
2000-07-14,32.12
2000-07-22,30.4
2000-07-29,30.44
2000-08-04,30.65
2000-08-11,28.02
2000-08-19,28.5
2000-08-26,30.14
2000-09-01,31.82
2000-09-08,32.46
2000-09-16,33.08
2000-09-23,34.42
2000-09-30,34.7
2000-10-06,35.49
2000-10-13,31.13
2000-10-21,31.27
2000-10-28,33.9
2000-11-03,33.48
2000-11-10,33.92
2000-11-18,32.78
2000-11-25,33.46
2000-12-01,35
2000-12-08,35.91
2000-12-16,34.1
2000-12-23,29.69
2001-01-01,29.05
2001-01-07,27.38
2001-01-15,26.52
2001-01-22,27.8
2001-01-29,28.81
2001-02-04,30.63
2001-02-11,31.35
2001-02-19,29.59
2001-02-26,30.92
2001-03-04,29.67
2001-03-11,28.65
2001-03-19,27.91
2001-03-26,28.45
2001-04-02,27.02
2001-04-08,26.42
2001-04-16,26.86
2001-04-23,26.76
2001-04-30,28.27
2001-05-06,27.89
2001-05-13,26.99
2001-05-21,28.36
2001-05-28,28.12
2001-06-03,29.08
2001-06-10,28.92
2001-06-18,28.44
2001-06-25,27.98
2001-07-02,28.9
2001-07-08,27.09
2001-07-16,26.37
2001-07-23,26.87
2001-07-30,27.07
2001-08-05,25.26
2001-08-12,26.5
2001-08-20,27.1
2001-08-27,27.87
2001-09-02,27.52
2001-09-09,27.25
2001-09-17,26.84
2001-09-24,27.38
2001-10-01,28.22
2001-10-07,27.09
2001-10-15,22.35
2001-10-22,22.6
2001-10-29,22.66
2001-11-04,21.92
2001-11-11,21.78
2001-11-19,21.17
2001-11-26,20.7
2001-12-02,19.61
2001-12-09,18.28
2001-12-17,19.13
2001-12-24,19.47
2002-01-01,18.45
2002-01-07,19.2
2002-01-15,20.94
2002-01-22,20.8
2002-01-29,20.54
2002-02-04,18.61
2002-02-11,19.21
2002-02-19,19.71
2002-02-26,19.97
2002-03-04,21.18
2002-03-11,20.7
2002-03-19,21.43
2002-03-26,23.31
2002-04-02,24.4
2002-04-08,25.25
2002-04-16,25.86
2002-04-23,26.99
2002-04-30,25.24
2002-05-06,25.54
2002-05-13,26.46
2002-05-21,26.88
2002-05-28,27.27
2002-06-03,28.43
2002-06-10,27.18
2002-06-18,25.22
2002-06-25,25.01
2002-07-02,24.94
2002-07-08,25.61
2002-07-16,26.52
2002-07-23,26.81
2002-07-30,26.7
2002-08-05,27.62
2002-08-13,26.64
2002-08-20,26.87
2002-08-27,26.77
2002-09-02,28.52
2002-09-09,30.09
2002-09-17,28.84
2002-09-24,28.65
2002-10-01,29.59
2002-10-07,29.39
2002-10-15,30.63
2002-10-22,30.25
2002-10-29,29.37
2002-11-04,29.65
2002-11-12,27.88
2002-11-19,27.03
2002-11-26,25.97
2002-12-02,25.68
2002-12-09,26.98
2002-12-17,26.83
2002-12-24,27.14
2003-01-01,27.82
2003-01-07,30.35
2003-01-15,32.38
2003-01-22,31.96
2003-01-29,31.54
2003-02-04,33.04
2003-02-12,34.46
2003-02-19,33.19
2003-02-26,33.95
2003-03-04,35.79
2003-03-11,36.78
2003-03-19,36.98
2003-03-26,36.98
2003-04-02,36.66
2003-04-08,30.46
2003-04-16,30.43
2003-04-23,29.33
2003-04-30,28.03
2003-05-06,29.28
2003-05-14,28.43
2003-05-21,25.69
2003-05-28,26.58
2003-06-03,28.54
2003-06-10,29.29
2003-06-18,29.1
2003-06-25,30.68
2003-07-02,31.46
2003-07-08,30.6
2003-07-16,30.01
2003-07-23,30.31
2003-07-30,30.73
2003-08-05,31.48
2003-08-13,30.61
2003-08-20,30.73
2003-08-27,32.11
2003-09-02,31.31
2003-09-09,31.19
2003-09-17,31.56
2003-09-24,29.2
2003-10-01,28.92
2003-10-07,27.39
2003-10-15,27.73
2003-10-22,29.43
2003-10-29,30.69
2003-11-04,31.49
2003-11-12,30.17
2003-11-19,29.28
2003-11-26,29.79
2003-12-02,31.56
2003-12-09,32.58
2003-12-17,30.11
2003-12-24,30.63
2004-01-01,32.16
2004-01-07,33.2
2004-01-15,32.24
2004-01-22,32.68
